PROCESSO ADMIN. Nº,PROCESSO Nº,ARQUIVO_ORIGEM__gt,ARQUIVO_ORIGEM__pred,status
2000000859,0802115-34.2023.8.15.0301,019525_12_2025_8_15_SEI_019525_12.2025.8.15.zip,019525_12_2025_8_15_SEI_019525_12.2025.8.15.zip,TP
2035800265,0801944-16.2024.8.15.0601,019526_75_2025_8_15_SEI_019526_75.2025.8.15.zip,019526_75_2025_8_15_SEI_019526_75.2025.8.15.zip,TP
2035800265,,019532_65_2025_8_15_SEI_019532_65.2025.8.15.zip,019532_65_2025_8_15_SEI_019532_65.2025.8.15.zip,TP
019534-94.2025.8.15,0800930-65.2024.8.15.0061,019534_94_2025_8_15_SEI_019534_94.2025.8.15.zip,019534_94_2025_8_15_SEI_019534_94.2025.8.15.zip,TP
2022.815,0801780-86.2022.8.15.0321,019535_60_2025_8_15_SEI_019535_60.2025.8.15.zip,019535_60_2025_8_15_SEI_019535_60.2025.8.15.zip,TP
2024.815,,019537_89_2025_8_15_SEI_019537_89.2025.8.15.zip,019537_89_2025_8_15_SEI_019537_89.2025.8.15.zip,TP
2094901533,0801418-16.2024.8.15.0321,019540_84_2025_8_15_SEI_019540_84.2025.8.15.zip,019540_84_2025_8_15_SEI_019540_84.2025.8.15.zip,TP
2028485270,0802956-63.2024.8.15.0731,019583_77_2025_8_15_SEI_019583_77.2025.8.15.zip,019583_77_2025_8_15_SEI_019583_77.2025.8.15.zip,TP
2013.950,0000185-04.2015.8.15.1171,019608_03_2025_8_15_SEI_019608_03.2025.8.15.zip,019608_03_2025_8_15_SEI_019608_03.2025.8.15.zip,TP
2000000999,0802246-46.2024.8.15.0051,019648_98_2025_8_15_SEI_019648_98.2025.8.15.zip,019648_98_2025_8_15_SEI_019648_98.2025.8.15.zip,TP
019677-82.2025.8.15,0804801-12.2025.8.15.0371,019677_82_2025_8_15_SEI_019677_82.2025.8.15.zip,019677_82_2025_8_15_SEI_019677_82.2025.8.15.zip,TP
019678-48.2025.8.15,0805172-73.2025.8.15.0371,019678_48_2025_8_15_SEI_019678_48.2025.8.15.zip,019678_48_2025_8_15_SEI_019678_48.2025.8.15.zip,TP
2029.618,0803293-97.2016.8.15.2003,019718_46_2025_8_15_SEI_019718_46.2025.8.15.zip,019718_46_2025_8_15_SEI_019718_46.2025.8.15.zip,TP
2005042413,0802388-85.2024.8.15.0201,019720_75_2025_8_15_SEI_019720_75.2025.8.15.zip,019720_75_2025_8_15_SEI_019720_75.2025.8.15.zip,TP
2005042413,0802446-54.2025.8.15.0201,019723_70_2025_8_15_SEI_019723_70.2025.8.15.zip,019723_70_2025_8_15_SEI_019723_70.2025.8.15.zip,TP
2005042413,0802287-14.2025.8.15.0201,019731_89_2025_8_15_SEI_019731_89.2025.8.15.zip,019731_89_2025_8_15_SEI_019731_89.2025.8.15.zip,TP
2025.815,0801360-17.2024.8.15.0061,019753_20_2025_8_15_SEI_019753_20.2025.8.15.zip,019753_20_2025_8_15_SEI_019753_20.2025.8.15.zip,TP
2005042413,0802410-12.2025.8.15.0201,019824_31_2025_8_15_SEI_019824_31.2025.8.15.zip,019824_31_2025_8_15_SEI_019824_31.2025.8.15.zip,TP
2005042413,0802409-27.2025.8.15.0201,019827_26_2025_8_15_SEI_019827_26.2025.8.15.zip,019827_26_2025_8_15_SEI_019827_26.2025.8.15.zip,TP
2000001174,0804912-36.2023.8.15.0251,019830_21_2025_8_15_SEI_019830_21.2025.8.15.zip,019830_21_2025_8_15_SEI_019830_21.2025.8.15.zip,TP
2005042413,0000421-41.2018.8.15.0171,019837_74_2025_8_15_SEI_019837_74.2025.8.15.zip,019837_74_2025_8_15_SEI_019837_74.2025.8.15.zip,TP
2025815038,0800190-70.2025.8.15.2002,019839_06_2025_8_15_SEI_019839_06.2025.8.15.zip,019839_06_2025_8_15_SEI_019839_06.2025.8.15.zip,TP
019842-98.2025.8.15,0803178-48.2023.8.15.0381,019842_98_2025_8_15_SEI_019842_98.2025.8.15.zip,019842_98_2025_8_15_SEI_019842_98.2025.8.15.zip,TP
019882-96.2025.8.15,0805282-72.2025.8.15.0371,019882_96_2025_8_15_SEI_019882_96.2025.8.15.zip,019882_96_2025_8_15_SEI_019882_96.2025.8.15.zip,TP
019888-86.2025.8.15,0804342-10.2025.8.15.0371,019888_86_2025_8_15_SEI_019888_86.2025.8.15.zip,019888_86_2025_8_15_SEI_019888_86.2025.8.15.zip,TP
